	faith_pd
e100	21.621415834
e102	17.516285206
e103	9.613937217
e104	31.617890466
e105	21.125827111
e106	26.745135517999998
e107	29.447118745000004
e108	30.858796015
e109	22.642979108000002
e110	30.869752678999998
e112	40.429414903
e80	15.939308058
e82	10.491752777
e87	6.238978891
e88	9.248633363
e89	13.950587785
e90	14.052401504
e91	9.775376455
e92	10.712593043
e93	6.907939393
e94	9.160257801
e97	12.355845077000001
e98	17.631274145
e99	20.611377820999998
