	e100	e101	e102	e103	e104	e105	e106	e107	e108	e109	e110	e111	e112	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97	e98	e99
e65	0.921	0.95675	0.92875	0.892	0.9775	0.9615	0.94275	0.9805	0.9715	0.98525	0.967	0.98325	0.9735	0.4275	0.0	0.78975	0.77125	0.85425	0.80025	0.62475	0.62675	0.48625	0.72125	0.66725	0.75325	0.754	0.75825	0.66675	0.8035	0.5585	0.8775	0.85	0.8085	0.55975	0.81975	0.78125	0.802	0.55825	0.899	0.859	0.79425	0.6305	0.768	0.90375	0.785	0.8475	0.7255	0.86175	0.9245
e66	0.87575	0.8975	0.86325	0.88675	0.89875	0.888	0.91175	0.91325	0.9325	0.9445	0.90025	0.93375	0.92225	0.6575	0.78975	0.0	0.4885	0.62475	0.66875	0.60075	0.62175	0.68325	0.55975	0.55575	0.512	0.46925	0.49175	0.56	0.61175	0.6865	0.718	0.611	0.697	0.6925	0.65475	0.67075	0.68875	0.772	0.6775	0.68975	0.6755	0.749	0.6385	0.74375	0.67175	0.61625	0.61275	0.875	0.8835
e67	0.89975	0.91825	0.88275	0.921	0.91425	0.90325	0.93425	0.9335	0.94475	0.9455	0.9105	0.931	0.92325	0.643	0.77125	0.4885	0.0	0.50025	0.53425	0.63575	0.65575	0.689	0.611	0.62225	0.59475	0.58225	0.508	0.5825	0.58125	0.64825	0.669	0.576	0.64375	0.711	0.572	0.64575	0.649	0.73675	0.56925	0.63275	0.6685	0.7035	0.5225	0.69125	0.6265	0.53525	0.55075	0.89325	0.90925
e68	0.90275	0.91925	0.89075	0.94775	0.908	0.90225	0.93925	0.93725	0.9405	0.9405	0.9045	0.913	0.91875	0.75225	0.85425	0.62475	0.50025	0.0	0.4295	0.671	0.64475	0.69025	0.63875	0.6375	0.619	0.656	0.57325	0.676	0.487	0.63375	0.7265	0.51725	0.54725	0.76775	0.54075	0.54775	0.56125	0.82475	0.5515	0.49325	0.67425	0.691	0.51425	0.6275	0.5925	0.47775	0.607	0.91375	0.91425
e69	0.94875	0.95725	0.9325	0.974	0.9425	0.9375	0.95525	0.96625	0.96325	0.95825	0.9405	0.93575	0.9505	0.70875	0.80025	0.66875	0.53425	0.4295	0.0	0.6835	0.64325	0.626	0.671	0.6805	0.62275	0.71125	0.60425	0.64125	0.565	0.56	0.8315	0.56675	0.5785	0.82175	0.5765	0.54875	0.568	0.72975	0.60075	0.4995	0.675	0.7175	0.4775	0.59425	0.6745	0.502	0.5565	0.952	0.95575
e70	0.89875	0.9215	0.888	0.9095	0.94975	0.93125	0.9275	0.95725	0.958	0.9675	0.94175	0.96575	0.95075	0.5315	0.62475	0.60075	0.63575	0.671	0.6835	0.0	0.37825	0.38825	0.37575	0.38	0.47875	0.5675	0.574	0.6085	0.6395	0.6715	0.751	0.672	0.707	0.509	0.7425	0.659	0.697	0.7445	0.79575	0.73875	0.69775	0.5535	0.68825	0.8375	0.6595	0.66325	0.65375	0.87325	0.89625
e71	0.91875	0.9445	0.90975	0.927	0.95425	0.93375	0.9315	0.9605	0.9655	0.96525	0.94	0.95675	0.94725	0.582	0.62675	0.62175	0.65575	0.64475	0.64325	0.37825	0.0	0.36075	0.51325	0.40475	0.49375	0.622	0.578	0.62375	0.6085	0.636	0.77425	0.66225	0.661	0.56025	0.72	0.64375	0.66025	0.7165	0.7685	0.68675	0.6645	0.551	0.64825	0.78825	0.6265	0.6425	0.6415	0.89025	0.919
e72	0.9305	0.94875	0.92875	0.932	0.9575	0.93725	0.9295	0.96525	0.96825	0.97025	0.95025	0.967	0.954	0.4245	0.48625	0.68325	0.689	0.69025	0.626	0.38825	0.36075	0.0	0.5445	0.454	0.54525	0.63825	0.6345	0.597	0.663	0.59075	0.81525	0.7295	0.70725	0.55	0.771	0.657	0.71275	0.585	0.82675	0.751	0.704	0.5205	0.649	0.816	0.68575	0.69525	0.663	0.89025	0.9225
e73	0.8695	0.8965	0.853	0.8985	0.935	0.9205	0.931	0.93575	0.95125	0.964	0.92	0.95925	0.95025	0.615	0.72125	0.55975	0.611	0.63875	0.671	0.37575	0.51325	0.5445	0.0	0.43575	0.41425	0.4885	0.601	0.6185	0.61475	0.7045	0.71725	0.65875	0.7205	0.63475	0.73	0.67275	0.722	0.795	0.7485	0.743	0.717	0.6505	0.68575	0.834	0.626	0.64125	0.6595	0.868	0.8635
e74	0.90325	0.92925	0.88175	0.91025	0.945	0.93075	0.93	0.956	0.9535	0.96325	0.9315	0.95925	0.945	0.5695	0.66725	0.55575	0.62225	0.6375	0.6805	0.38	0.40475	0.454	0.43575	0.0	0.42525	0.5355	0.555	0.61925	0.60625	0.6775	0.69875	0.605	0.67625	0.54425	0.68475	0.636	0.64025	0.754	0.74225	0.69175	0.6785	0.546	0.6605	0.8	0.62275	0.65925	0.659	0.8825	0.89425
