	pielou_e
e100	0.6744483921807551
e102	0.5214334186322234
e103	0.2946910744314634
e104	0.6598015506521347
e105	0.6169043177429827
e106	0.7100347577239199
e107	0.5932562915029402
e108	0.6638343724432191
e109	0.745429966123226
e110	0.6534884993846043
e112	0.7197501098804368
e80	0.6110093813918676
e82	0.6093481602504492
e87	0.5221961564139713
e88	0.7066080371112227
e89	0.6449116481918588
e90	0.6323090015440971
e91	0.5371047221276968
e92	0.5707297555765302
e93	0.4593394588762283
e94	0.40183990849918744
e97	0.6097542983060051
e98	0.39215448077995985
e99	0.80180144280245
