	pielou_e
e100	0.9043600997942157
e101	0.9066054259529421
e102	0.9053453692470509
e103	0.8687621659736315
e104	0.9492438496152293
e105	0.9372390782255301
e106	0.9352723713475346
e107	0.9140041392131539
e108	0.9246264481515272
e109	0.9488867821439838
e110	0.9431944725595227
e111	0.9466025913973568
e112	0.9486067352918899
e64	0.7439314016746832
e65	0.6681853123528344
e66	0.8831064726873461
e67	0.8530261726074005
e68	0.8506426600481356
e69	0.7955897090566288
e70	0.7637023688546108
e71	0.7507273712653304
e72	0.7041288249622216
e73	0.7926896096289691
e74	0.8154578186951963
e75	0.8298345315370235
e76	0.8580138227439498
e77	0.8598716776018883
e78	0.829006564372616
e79	0.7775376095699067
e80	0.6780562294274965
e81	0.8014397002088058
e82	0.8436113284864992
e83	0.7965103395116905
e84	0.7316494926681781
e85	0.8335323606518672
e86	0.7827014093576162
e87	0.804381868853072
e88	0.6351696292883429
e89	0.8232364281524114
e90	0.8184511881100602
e91	0.8230219852943732
e92	0.858862143027493
e93	0.7755695459075875
e94	0.7755299206413956
e95	0.7611490854213708
e96	0.8245062931838816
e97	0.8001677509005746
e98	0.922817326303627
e99	0.8750287426532285
