diversity_metric,pheno,estimate,p.value
evenness,ph,0.410023842820385,0.520186723583596
evenness,organic_matter,0.333336808433373,0.527453413064076
evenness,p2o5,0.354545454545455,0.520186723583596
evenness,k2o,-0.1776769985555,0.668010839565308
evenness,ca,0.254545454545455,0.563996005461397
evenness,mg,0.118181818181818,0.772896619741896
evenness,na,0.485137290049837,0.520186723583596
evenness,s,-0.537586816142282,0.520186723583596
evenness,al,-0.372727272727273,0.520186723583596
evenness,b,0.200055424692764,0.653333631372908
evenness,cu,0.390909090909091,0.520186723583596
evenness,fe,-0.0363636363636364,0.924426257832482
evenness,mn,0.514807713763372,0.520186723583596
evenness,zn,0.37813309948991,0.520186723583596
evenness,cec,0.287674231935651,0.563996005461397
evenness,k_sat,-0.264842943686789,0.563996005461397
evenness,ca_sat,0.423691304247731,0.520186723583596
evenness,mg_sat,-0.463636363636364,0.520186723583596
evenness,na_sat,0.261785157202368,0.563996005461397
evenness,h_sat,-0.418181818181818,0.520186723583596
Faith's Phylogenetic Diversity,ph,0.15489789617659,0.902917866811604
Faith's Phylogenetic Diversity,organic_matter,0.369866869631551,0.902917866811604
Faith's Phylogenetic Diversity,p2o5,0.1,0.902917866811604
Faith's Phylogenetic Diversity,k2o,-0.387244740441474,0.902917866811604
Faith's Phylogenetic Diversity,ca,-0.0454545454545455,0.902917866811604
Faith's Phylogenetic Diversity,mg,-0.0454545454545455,0.902917866811604
Faith's Phylogenetic Diversity,na,0.29748984767207,0.902917866811604
Faith's Phylogenetic Diversity,s,-0.0592256661851667,0.902917866811604
Faith's Phylogenetic Diversity,al,0.0909090909090909,0.902917866811604
Faith's Phylogenetic Diversity,b,0.189526191814198,0.902917866811604
Faith's Phylogenetic Diversity,cu,0.145454545454545,0.902917866811604
Faith's Phylogenetic Diversity,fe,0.190909090909091,0.902917866811604
Faith's Phylogenetic Diversity,mn,0.205011921410192,0.902917866811604
Faith's Phylogenetic Diversity,zn,0.136674614273462,0.902917866811604
Faith's Phylogenetic Diversity,cec,0.12328895654385,0.902917866811604
Faith's Phylogenetic Diversity,k_sat,-0.242011655437928,0.902917866811604
Faith's Phylogenetic Diversity,ca_sat,-0.132118793797679,0.902917866811604
Faith's Phylogenetic Diversity,mg_sat,-0.336363636363636,0.902917866811604
Faith's Phylogenetic Diversity,na_sat,0.168290458201522,0.902917866811604
Faith's Phylogenetic Diversity,h_sat,0.0636363636363636,0.902917866811604
richness,ph,0.410023842820385,0.520186723583596
richness,organic_matter,0.333336808433373,0.527453413064076
richness,p2o5,0.354545454545455,0.520186723583596
richness,k2o,-0.1776769985555,0.668010839565308
richness,ca,0.254545454545455,0.563996005461397
richness,mg,0.118181818181818,0.772896619741896
richness,na,0.485137290049837,0.520186723583596
richness,s,-0.537586816142282,0.520186723583596
richness,al,-0.372727272727273,0.520186723583596
richness,b,0.200055424692764,0.653333631372908
richness,cu,0.390909090909091,0.520186723583596
richness,fe,-0.0363636363636364,0.924426257832482
richness,mn,0.514807713763372,0.520186723583596
richness,zn,0.37813309948991,0.520186723583596
richness,cec,0.287674231935651,0.563996005461397
richness,k_sat,-0.264842943686789,0.563996005461397
richness,ca_sat,0.423691304247731,0.520186723583596
richness,mg_sat,-0.463636363636364,0.520186723583596
richness,na_sat,0.261785157202368,0.563996005461397
richness,h_sat,-0.418181818181818,0.520186723583596
shannon,ph,0.478361149957115,0.416017788662214
shannon,organic_matter,0.315071777834284,0.474719922445591
shannon,p2o5,0.2,0.606587186231181
shannon,k2o,-0.218679382837538,0.606587186231181
shannon,ca,0.318181818181818,0.474719922445591
shannon,mg,0.245454545454545,0.585229378860993
shannon,na,0.649900897991291,0.304197474499805
shannon,s,-0.583145020900103,0.397970948810322
shannon,al,-0.472727272727273,0.416017788662214
shannon,b,0.168467726057065,0.620485497073325
shannon,cu,0.309090909090909,0.474719922445591
shannon,fe,-0.190909090909091,0.606587186231181
shannon,mn,0.697040532794654,0.304197474499805
shannon,zn,0.33257489473209,0.474719922445591
shannon,cec,0.369866869631551,0.474719922445591
shannon,k_sat,-0.337903066083145,0.474719922445591
shannon,ca_sat,0.48747279090868,0.416017788662214
shannon,mg_sat,-0.4,0.474719922445591
shannon,na_sat,0.355279856203214,0.474719922445591
shannon,h_sat,-0.536363636363636,0.416017788662214
