	observed_otus
e100	685
e101	713
e102	754
e103	454
e104	879
e105	964
e106	590
e107	800
e108	762
e109	795
e110	957
e111	836
e112	838
e64	332
e65	190
e66	515
e67	366
e68	433
e69	231
e70	325
e71	405
e72	339
e73	450
e74	350
e75	356
e76	585
e77	532
e78	555
e79	537
e80	337
e81	391
e82	533
e83	350
e84	254
e85	342
e86	344
e87	328
e88	215
e89	438
e90	356
e91	433
e92	58
e93	412
e94	399
e95	428
e96	467
e97	386
e98	698
e99	696
