	shannon
e72	3.9758761581799504
e73	3.3946494567339682
e75	3.2103518297724474
e76	3.1065006011823546
e77	2.947211029473631
e78	3.0760568137690223
e80	3.739380892589776
e81	3.116552748122696
e82	3.387566506744808
e87	2.570665035211522
e88	3.743571716182395
e89	3.676448532405335
e90	3.638624062191158
e91	3.1551800302785673
e92	2.99117863459188
e93	2.1844071474024016
e94	2.0046727119345094
e95	3.5208649244639387
e96	3.63289355695287
e97	3.498590598974658
