	observed_otus
e100	88
e102	75
e103	36
e104	166
e105	100
e106	124
e107	129
e108	157
e109	107
e110	166
e112	206
e80	72
e82	45
e87	31
e88	41
e89	56
e90	56
e91	55
e92	41
e93	27
e94	32
e97	48
e98	72
e99	80
