fungi_genus,pheno,estimate,p.value
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella,ca_sat,0.491531837597865,0.213855404558058
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella,mg_sat,-0.414312882194142,0.355602240822354
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella,na_sat,-0.434768321845567,0.311665281930781
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella,h_sat,-0.471605900218529,0.239964004606802
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,ph,-0.206844693078302,0.611196524963233
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,organic_matter,-0.316108951071524,0.491645900373427
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,p2o5,-0.287218045112782,0.518599312708771
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,k2o,-0.379089910223506,0.381827938091217
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,ca,-0.192481203007519,0.62785311240753
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,mg,-0.137645741212106,0.701615166972316
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,na,0.257262893354152,0.552779325289565
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,s,-0.488505281293006,0.213855404558058
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,al,-0.251127819548872,0.552779325289565
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,b,-0.332654915581072,0.475661961311393
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,cu,-0.249624060150376,0.552779325289565
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,fe,-0.285069595187914,0.518896983015337
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,mn,0.29325394201077,0.511066998527327
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,zn,-0.236931193889691,0.582746291290733
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,cec,-0.216867715819421,0.592403709484877
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,k_sat,-0.408324146474009,0.36919643074613
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,ca_sat,0.136945110249714,0.701615166972316
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,mg_sat,0.168674890081772,0.649191483970206
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,na_sat,0.482808576003108,0.221889504206247
k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon,h_sat,-0.136842105263158,0.701615166972316
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,ph,0.147719050848041,0.684956105903355
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,organic_matter,0.303569318772762,0.501835909382436
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,p2o5,0.177365936482157,0.648220258505513
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,k2o,-0.151963851159767,0.674127539483053
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,ca,0.061102140797681,0.853505193439267
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,mg,0.133711209819348,0.704432441315151
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,na,0.276746223285126,0.522027810807452
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,s,-0.163794970600219,0.657946325558003
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,al,-0.0763776759971012,0.818506851958356
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,b,0.0960905813751333,0.771856217464828
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,cu,0.198581957592463,0.617713724754779
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,fe,0.0993283272943726,0.769251680494009
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,mn,-0.0131886859444332,0.965646845641618
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,zn,0.19271393415233,0.62785311240753
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,cec,0.120263663278794,0.726068470599328
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,k_sat,-0.295726411396197,0.507512794567377
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,ca_sat,-0.222511265882388,0.586698483343356
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,mg_sat,-0.220129249393693,0.586698483343356
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,na_sat,0.120566314943456,0.726068470599328
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena,h_sat,0.205371084347761,0.611196524963233
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,ph,-0.382674443917499,0.379378444641685
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,organic_matter,-0.396676189360187,0.372653924757878
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,p2o5,-0.263554515752768,0.552779325289565
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,k2o,-0.0489642497138532,0.872473067436037
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,ca,-0.176205019103279,0.648220258505513
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,mg,-0.121280680060467,0.726068470599328
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,na,-0.184359981340735,0.637240693574043
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,s,0.0853152679991394,0.796267658624876
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,al,0.0737952644107752,0.823014971641511
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,b,-0.311051123717044,0.496914907234596
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,cu,-0.341867857576448,0.475661961311393
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,fe,-0.158945487532662,0.662215959956858
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,mn,-0.0030200094866952,0.99489249522595
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,zn,-0.328437121157538,0.475661961311393
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,cec,-0.180241327300151,0.643168672267211
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,k_sat,0.171906072714718,0.649191483970206
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,ca_sat,0.0226073914982929,0.948337072825889
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,mg_sat,0.277526395173454,0.522027810807452
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,na_sat,0.0532971261244937,0.868760473329276
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Ilyonectria,h_sat,-0.0527109031505537,0.868760473329276
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,ph,0.161355112804798,0.657946325558003
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,organic_matter,-0.386934893026655,0.375156651794749
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,p2o5,-0.432899449531806,0.311665281930781
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,k2o,-0.173874043970687,0.648220258505513
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,ca,0.219694153188518,0.586698483343356
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,mg,0.426107323757497,0.321152019554137
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,na,0.736664507877669,0.0211939613830943
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,s,-0.60226975930538,0.13681907943714
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,al,-0.612733482099623,0.135840243669716
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,b,-0.308079322495413,0.496914907234596
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,cu,-0.323515862712206,0.475661961311393
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,fe,-0.710333427634913,0.029934838492905
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,mn,0.750978341849919,0.0211939613830943
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,zn,-0.243887325676217,0.571617152518139
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,cec,0.130436920124009,0.711717119154046
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,k_sat,-0.356586203888921,0.44834827073251
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,ca_sat,0.392871342256298,0.373140164586126
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,mg_sat,0.401987091912427,0.36919643074613
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,na_sat,0.5686219501939,0.13681907943714
k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pseudaleuria,h_sat,-0.517254588519803,0.185313676474771
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,ph,0.198566642450776,0.617713724754779
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,organic_matter,-0.174176460801013,0.648220258505513
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,p2o5,-0.206039202847535,0.611196524963233
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,k2o,-0.115515955494178,0.734150725974617
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,ca,0.135095301500765,0.703850282644256
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,mg,0.308420051107003,0.496914907234596
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,na,0.65126850560379,0.0747183105459815
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,s,-0.577374567932053,0.13681907943714
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,al,-0.652080114506486,0.0747183105459815
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,b,-0.170912607665594,0.649191483970206
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,cu,-0.198491979300007,0.617713724754779
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,fe,-0.577957280593418,0.13681907943714
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,mn,0.488460397903198,0.213855404558058
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,zn,-0.0977733087352679,0.770331009273325
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,cec,0.105820377878852,0.759568738691829
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,k_sat,-0.329791865077399,0.475661961311393
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,ca_sat,0.268128111867926,0.544187402668266
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,mg_sat,0.27740056201099,0.522027810807452
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,na_sat,0.431215827129005,0.311665281930781
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Gibberella,h_sat,-0.351700617314841,0.458391891403489
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,ph,-0.404663435913187,0.36919643074613
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,organic_matter,-0.251227400254934,0.552779325289565
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,p2o5,-0.111278195488722,0.743697908150191
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,k2o,-0.0361038009736673,0.907099324425365
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,ca,-0.0902255639097744,0.783152654004378
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,mg,-0.062429489183633,0.853472579990344
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,na,-0.163712750316279,0.657946325558003
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,s,0.102525799777544,0.766788920468463
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,al,0.251127819548872,0.552779325289565
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,b,-0.116665704990518,0.734150725974617
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,cu,-0.203007518796992,0.612552041883555
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,fe,-0.154193316658371,0.674127539483053
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,mn,-0.254806767094191,0.552779325289565
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,zn,-0.222640106004281,0.586698483343356
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,cec,-0.0496988515419506,0.872473067436037
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,k_sat,-0.0642732452783162,0.851642230342267
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,ca_sat,-0.169300273660361,0.649191483970206
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,mg_sat,0.152108606234455,0.674127539483053
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,na_sat,0.0385629853037626,0.903386072464851
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Unclassified;g__Unclassified,h_sat,0.219548872180451,0.586698483343356
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,ph,0.230917136957858,0.585094312328156
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,organic_matter,0.277171986705565,0.522027810807452
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,p2o5,0.258835457545732,0.552779325289565
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,k2o,-0.185922253653569,0.637166267331464
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,ca,0.297872936388695,0.506975330971952
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,mg,0.251292178454139,0.552779325289565
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,na,0.460676020914626,0.255873625470327
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,s,-0.326313616754202,0.475661961311393
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,al,-0.299570218077519,0.506975330971952
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,b,0.308735479047882,0.496914907234596
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,cu,0.238468077279838,0.582746291290733
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,fe,-0.331094424314575,0.475661961311393
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,mn,0.250159591462152,0.552779325289565
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,zn,0.304776662381878,0.501835909382436
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,cec,0.331468753913284,0.475661961311393
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,k_sat,-0.500985291456184,0.203683142123842
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,ca_sat,0.205525673066939,0.611196524963233
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,mg_sat,-0.356116430486323,0.44834827073251
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,na_sat,0.191948537509256,0.62785311240753
k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Unclassified;g__Unclassified,h_sat,-0.126447485817423,0.717189139598782
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__Unclassified,ph,-0.321063791831105,0.478593792647689
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__Unclassified,organic_matter,-0.128975022161026,0.71256857824657
k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__Unclassified,p2o5,-0.162279098445789,0.657946325558003
