	faith_pd
e72	10.736953989
e73	7.083779785999999
e75	6.974460110000001
e76	9.266577096999999
e77	9.103499746
e78	8.070391282
e80	12.041652251999999
e81	5.944429260000001
e82	9.915207209
e87	5.593783822
e88	8.089220677
e89	13.089707597
e90	11.799781355
e91	7.916230451
e92	9.78922486
e93	6.544397205
e94	7.878934393
e95	11.356806670000001
e96	11.048904536
e97	10.749240062
