	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	65.858190548229	87.7430306888411	24.7052858410445	28.9674242935186	33.6698664901247	43.9486498450642	55.8789248754989	58.6042542563377	70.0603085011791	41.9883522050705	45.2616952292728	42.0016486447171	31.3697657913414	31.293821537724	44.1733580399424	39.1018814341498	61.7750349483446	21.0521032024897	30.3449310137972	45.6950372120913	71.5646564656466	35.0315854347491	46.7582094566222	39.1623735928258	73.5056272177634	27.5362865221489	36.3480251860332	35.2053478504523	70.749342681858	36.4813070807508	32.3415497473517	51.4063616482255	34.95464783588	43.2687571827286
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria	18.3576150228566	4.92559879048301	27.5277812988549	27.5780670398597	24.3407260289088	26.6932270916335	16.0350369088405	12.5775298672106	11.6577105965129	20.6585983675767	20.1250578971746	20.1474082335257	25.704146811315	22.9939473841913	21.520485896644	18.9538009026827	15.0942752906679	16.0927617709065	24.8290341931614	18.2815420972805	12.4062406240624	25.0012839607622	18.2665658856135	23.735928257966	19.0975130591048	28.1281809613572	24.3450310422262	26.2228804739412	9.00525854513585	25.18452002891	29.2097365788596	11.6103328064439	26.6969014427467	26.9126580200295
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	8.08202058736475	3.92032041590409	20.044788101576	13.1786605516962	13.5495972635992	11.394422310757	17.1723236675732	13.1603047079882	10.0030927436502	24.5967654636385	14.6317739694303	17.5435193715754	20.6407786677482	17.612512734464	16.5148239654107	11.1339317409605	12.9905554229602	13.8690894488505	17.3605278944211	11.8373249620825	4.41419141914191	10.821221303477	16.1711598219535	18.8275138332379	4.58248937757946	15.0386427898209	17.1150543789353	11.342166359779	6.90184049079755	23.1476817275893	16.8517711031882	11.0083797068185	14.6800998356365	16.3396814972911
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria	4.16515933831026	1.39518845653961	19.5757806228081	19.8489242597963	17.0142336974512	10.7127047366091	8.62501324479921	10.9228655871457	6.30146518730429	9.82701509017298	16.1695229272812	15.5699946661494	15.8450775626077	17.4387247557979	11.4371010912086	17.0698311273391	4.22107811381227	31.8015259512097	14.5860827834433	12.6732743113118	7.67701770177018	17.9497714549843	10.2754682119761	8.52413661514978	1.43155201559478	17.564561734213	11.043106864515	21.4394363942038	9.48729184925504	10.1009658555816	13.7661271705953	11.5453738388585	10.4066475923784	8.75472007880479
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria	0.335449074226329	0.0848783851887218	1.60983648117632	1.48377959128617	3.63566148074589	3.39973439575033	0.36732243139194	1.36952087582733	0.605017976572467	0.768581263937301	1.14867994441871	1.28982204334966	2.17986413870019	4.11098459878948	1.21474161004735	2.58380242405802	1.72866446179549	2.9138640698725	4.75704859028194	3.96105957461818	0.63006300630063	5.0177186585178	2.86806080456874	3.46307956496852	0.208641091634558	3.67577756833176	4.33710536744309	0.410295412697142	2.3444347063979	1.94923235287676	2.42644984225511	3.72431414156724	4.82437450538747	1.2477425710064
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli	2.35143223599829	1.43497519959683	1.05209785777665	4.33668307816821	1.30199713119276	0.115095174856131	0.399109949493166	0.880406277317571	0.224223914640275	0.067115546991708	0.47244094488189	0.814624448431363	0.0811112237655886	0.2636783124588	0.411776816965205	3.05542877427861	0.460295270892291	11.2739684770605	0.608878224355129	1.59077281224648	1.82643264326433	1.25314570386729	1.23036869068615	0.958786491127647	0.347227510165542	1.45900094250707	0.792567478314473	2.58386037947322	0.766871165644172	0.144549814932434	0.174417113396773	6.89647705865795	2.42284044560784	0.032835330815958
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae	0.335449074226329	0.0822259356515742	1.76617230743229	1.0993457880893	0.965463974401412	0.725984949092519	0.526260021898068	0.955334471131832	0.36726330846252	0.909307410855398	1.18110236220472	1.24133249284779	2.02372503295143	2.25325103373884	1.68056413423924	1.51883969775344	0.760339595622081	0.958739082421444	1.67366526694661	1.12165355719375	0.378787878787879	1.34559087874275	1.25976316452507	1.58843732112192	0.175136682758936	1.60226201696513	0.915855752718947	0.258185893843567	0.569675723049956	1.0403206377713	1.17218560032831	1.12379013922872	1.29360199671273	1.22722048924643
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia	0.131548656559345	0.185671467600329	1.75772172222926	1.63890200310245	1.78748758689176	1.11553784860558	0.374386324303324	0.595262873079965	0.36726330846252	0.383208123146204	0.449282075034738	0.475197594918295	0.734056575078576	1.37831845148918	1.13238624665431	1.58730158730159	0.453476081693887	0.243449452866178	0.99880023995201	0.761877887905189	0.251275127512751	0.493040932669098	0.302343159486017	1.31654264453349	0.35941093157486	1.49293119698398	2.10030381753335	1.29293091025538	0	0.497163757419129	0.677148793187473	0.513175843925254	1.63146040056005	0.49252996223937
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia	0.123326865524386	0.0901832842630169	0.371825748933114	0.546300667700816	1.05373496634668	0.442673749446658	0.250768198354113	0.274736710652292	0.0908493447249391	0.207841693909805	0.1528485409912	0.174562381806721	0.255500354861604	0.566309102894469	0.283096561663578	1.69633348547087	0.842169866002932	0.494428270253991	1.46670665866827	1.34034072872209	0.348784878487849	1.18637974423502	1.17157974300831	0.577179927494753	0.0517795409895984	1.28557964184731	0.673682356567302	0.170122488191498	0	0.407367660264132	0.515556467540462	0.530498235281381	0.967918670481524	0.40633721884748
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6	0.0328871641398362	0	0.181687581865044	0	0.275846849828975	0.398406374501992	0.0988945007593685	0.145693710194397	0.0599219082228322	0.0801056528610708	0.032422417786012	0.121223876254667	0.0648889790124709	0.191766045424582	0.229050854436895	0.486840103453522	0.225033243547342	0.414115048689891	0.560887822435513	0.409156643504638	0.183768376837684	0.292743053772277	0.293944738389183	0.386376645678306	0.0274126981709639	0.267672007540057	0.26859231209546	0.0220158514130174	0.175284837861525	0.111697584265972	0.364223972093262	0.40058030011043	0.246545321726426	0.287309144639632
