	e80	e82	e87	e88	e89	e90	e91	e92	e93	e94	e97
e80	0.0	0.5902532455627365	0.6570690956897819	0.5668689096647024	0.620479746131769	0.6321259878264305	0.6067265754996253	0.6172057179198307	0.7012188000712624	0.6509809890700943	0.5707981046968965
e82	0.5902532455627365	0.0	0.6664247420908677	0.6417942946523779	0.6112423616524058	0.6038446160341796	0.6281097687682683	0.5433385126211486	0.5230008694320751	0.5845234824926936	0.6020511740455847
e87	0.6570690956897819	0.6664247420908677	0.0	0.5685572282104411	0.6958590077433424	0.7273693783924252	0.6457448170438118	0.6523408571355491	0.623477955236534	0.67079242940187	0.7033496877356133
e88	0.5668689096647024	0.6417942946523779	0.5685572282104411	0.0	0.5816738071234843	0.6112975837888064	0.2837909882672485	0.5135725234027051	0.5255233792408188	0.5066308923232499	0.4943622691383051
e89	0.620479746131769	0.6112423616524058	0.6958590077433424	0.5816738071234843	0.0	0.5889644380320791	0.5847018474503881	0.522339886934378	0.6766055421506926	0.5659751532066937	0.6166359865425807
e90	0.6321259878264305	0.6038446160341796	0.7273693783924252	0.6112975837888064	0.5889644380320791	0.0	0.5765116880225268	0.5046804611878065	0.6895148416282662	0.5567032828359016	0.5903069059511241
e91	0.6067265754996253	0.6281097687682683	0.6457448170438118	0.2837909882672485	0.5847018474503881	0.5765116880225268	0.0	0.5766396216881317	0.6154881326159123	0.4590259910459807	0.5399745869690518
e92	0.6172057179198307	0.5433385126211486	0.6523408571355491	0.5135725234027051	0.522339886934378	0.5046804611878065	0.5766396216881317	0.0	0.4745533929607927	0.48121027504281916	0.47001024204228514
e93	0.7012188000712624	0.5230008694320751	0.623477955236534	0.5255233792408188	0.6766055421506926	0.6895148416282662	0.6154881326159123	0.4745533929607927	0.0	0.5727130714367122	0.5892047846901024
e94	0.6509809890700943	0.5845234824926936	0.67079242940187	0.5066308923232499	0.5659751532066937	0.5567032828359016	0.4590259910459807	0.48121027504281916	0.5727130714367122	0.0	0.4978952027016983
e97	0.5707981046968965	0.6020511740455847	0.7033496877356133	0.4943622691383051	0.6166359865425807	0.5903069059511241	0.5399745869690518	0.47001024204228514	0.5892047846901024	0.4978952027016983	0.0
