	observed_otus
e64	328
e65	193
e66	515
e67	372
e68	425
e69	228
e70	324
e71	405
e72	339
e73	450
e74	349
e75	356
e76	614
e77	531
e78	551
e79	526
e80	330
e81	402
e82	528
e83	344
e84	253
e85	341
e86	354
e87	335
e88	210
e89	429
e90	347
e91	436
e92	58
e93	417
e94	399
e95	429
e96	456
e97	378
